Vloz;;1065000
Vymaz;;2664800
Vloz;;5400
Vloz;;87300
Vymaz;;89200
DajData/NastavData;;388700
DajData/NastavData;;9600
DajData/NastavData;;5900
Vloz;;6500
DajData/NastavData;;5800
Vymaz;;6600
DajData/NastavData;;5600
DajData/NastavData;;5500
DajData/NastavData;;5600
DajData/NastavData;;5600
DajData/NastavData;;5600
Vymaz;;6200
Vloz;;1600
DajIndex;;246000
DajData/NastavData;;7400
Vymaz;;6600
Vloz;;1900
Vymaz;;6500
Vloz;;2300
DajData/NastavData;;13700
DajData/NastavData;;6100
Vloz;;6500
Vloz;;10200
DajData/NastavData;;13500
Vymaz;;20300
DajData/NastavData;;8500
DajData/NastavData;;11100
Vloz;;11200
Vloz;;9800
DajData/NastavData;;5600
DajData/NastavData;;5500
DajData/NastavData;;13400
Vymaz;;24300
DajData/NastavData;;8100
DajIndex;;8300
DajData/NastavData;;13000
DajData/NastavData;;7700
DajData/NastavData;;8300
DajData/NastavData;;7900
DajData/NastavData;;9800
DajData/NastavData;;9800
DajData/NastavData;;12800
DajIndex;;1600
Vymaz;;22800
DajData/NastavData;;11900
Vymaz;;12800
DajData/NastavData;;9800
Vymaz;;9100
Vloz;;3300
DajData/NastavData;;8300
DajIndex;;900
Vloz;;10300
DajData/NastavData;;9400
DajData/NastavData;;13100
DajIndex;;1700
Vloz;;13900
Vymaz;;12000
Vloz;;5900
DajData/NastavData;;5500
DajIndex;;700
DajIndex;;600
DajData/NastavData;;5400
DajData/NastavData;;5200
DajData/NastavData;;5200
Vymaz;;5900
Vymaz;;5900
Vymaz;;5800
Vloz;;1400
Vloz;;5400
DajData/NastavData;;5300
DajData/NastavData;;5300
Vloz;;9800
DajIndex;;3000
DajIndex;;1900
Vloz;;17700
DajData/NastavData;;14400
DajData/NastavData;;14400
DajIndex;;1600
Vymaz;;20500
Vloz;;6200
Vymaz;;6000
DajData/NastavData;;5400
DajData/NastavData;;5100
DajData/NastavData;;5200
Vymaz;;9700
Vloz;;5500
Vymaz;;9700
DajData/NastavData;;5900
Vymaz;;5800
DajIndex;;700
Vloz;;10800
DajData/NastavData;;7800
DajData/NastavData;;5800
DajData/NastavData;;5400
DajData/NastavData;;5500
Vymaz;;6100
Vymaz;;5900
Vloz;;1600
Vloz;;5900
Vymaz;;5900
Vloz;;5600
DajData/NastavData;;5200
DajData/NastavData;;5400
Vloz;;5700
DajData/NastavData;;5300
DajIndex;;700
DajData/NastavData;;5300
DajData/NastavData;;5400
DajData/NastavData;;5200
DajData/NastavData;;8500
DajData/NastavData;;5400
DajIndex;;700
Vymaz;;10400
Vymaz;;5700
DajData/NastavData;;5300
DajData/NastavData;;5300
Vymaz;;6200
Vloz;;1500
DajIndex;;700
DajIndex;;600
DajIndex;;600
Vloz;;11100
DajIndex;;600
DajData/NastavData;;5600
DajData/NastavData;;5400
DajData/NastavData;;5200
DajData/NastavData;;5100
DajData/NastavData;;5200
DajData/NastavData;;12000
DajIndex;;800
DajData/NastavData;;5300
DajIndex;;700
Vymaz;;10400
Vloz;;5600
DajData/NastavData;;5900
Vloz;;5900
DajData/NastavData;;6000
DajData/NastavData;;5200
Vymaz;;10200
DajIndex;;700
DajData/NastavData;;5600
Vymaz;;9700
DajData/NastavData;;5200
Vymaz;;5700
Vloz;;1400
DajData/NastavData;;5200
DajData/NastavData;;5500
Vymaz;;5900
Vloz;;1300
DajData/NastavData;;7300
DajIndex;;700
Vloz;;6800
Vloz;;5500
Vloz;;9400
DajData/NastavData;;5600
Vloz;;9500
Vymaz;;10200
Vloz;;5600
Vloz;;9600
Vymaz;;9900
DajData/NastavData;;5300
DajData/NastavData;;5400
DajData/NastavData;;5300
DajIndex;;700
DajData/NastavData;;5300
DajData/NastavData;;5300
DajData/NastavData;;5400
Vloz;;5600
DajIndex;;800
Vymaz;;9800
DajData/NastavData;;5300
Vloz;;9800
DajData/NastavData;;5300
DajData/NastavData;;5700
DajData/NastavData;;5200
Vymaz;;5900
Vymaz;;5700
Vymaz;;5700
DajData/NastavData;;5400
DajIndex;;700
Vloz;;6000
DajData/NastavData;;5300
DajData/NastavData;;5500
DajData/NastavData;;5300
DajData/NastavData;;5300
Vloz;;5700
Vloz;;9600
DajIndex;;1000
Vloz;;10000
Vloz;;9600
DajData/NastavData;;5600
Vymaz;;10200
Vymaz;;5900
DajData/NastavData;;5900
Vymaz;;5900
DajData/NastavData;;5200
DajData/NastavData;;5400
DajData/NastavData;;5200
DajIndex;;800
Vymaz;;10200
Vloz;;6600
Vloz;;9900
DajIndex;;800
Vloz;;6200
DajData/NastavData;;5500
Vymaz;;9900
Vymaz;;5600
DajData/NastavData;;5200
DajData/NastavData;;5200
Vloz;;9500
DajData/NastavData;;6600
Vloz;;5800
Vloz;;5600
DajData/NastavData;;5300
DajData/NastavData;;5200
Vymaz;;9800
Vloz;;9500
Vloz;;9500
Vymaz;;5600
DajIndex;;700
DajData/NastavData;;5400
Vymaz;;9700
Vymaz;;9500
DajData/NastavData;;5100
DajIndex;;700
Vymaz;;10100
DajData/NastavData;;5000
Vymaz;;9700
Vymaz;;5700
DajData/NastavData;;5200
Vymaz;;5700
DajData/NastavData;;5300
DajIndex;;700
Vymaz;;5800
Vloz;;5700
DajData/NastavData;;5300
DajData/NastavData;;5300
Vloz;;5500
Vloz;;9600
Vloz;;9600
Vymaz;;9700
Vymaz;;9800
Vymaz;;9800
DajIndex;;600
DajData/NastavData;;5200
DajData/NastavData;;5200
Vymaz;;5800
DajData/NastavData;;5300
Vloz;;5500
DajData/NastavData;;5200
Vloz;;5500
Vloz;;5500
Vloz;;9400
DajData/NastavData;;5200
DajData/NastavData;;5100
DajData/NastavData;;5200
DajData/NastavData;;5000
DajIndex;;700
DajData/NastavData;;5300
Vloz;;9600
Vloz;;5500
DajData/NastavData;;5100
DajData/NastavData;;5200
Vloz;;5600
DajData/NastavData;;5200
DajData/NastavData;;5200
DajData/NastavData;;5200
DajData/NastavData;;5200
DajData/NastavData;;5100
DajData/NastavData;;5100
Vymaz;;9700
Vloz;;9300
DajData/NastavData;;5100
Vloz;;5400
Vymaz;;5700
DajData/NastavData;;5200
DajData/NastavData;;5100
DajData/NastavData;;5200
DajData/NastavData;;5100
DajData/NastavData;;5100
